pagina,cifra,contexto,tema,verificabilidad,indicador_real,fuente_real,notas
322,80%,"con agua potable, con acceso a agua potable, con saneamien- to básico, no más ciudad en las cuales hay agua potable para una mínima parte de la población. En Colombia hoy tenemos 80% de los municipios sin agua potable. | 320 |",Medio ambiente,,,,
329,90%,"rsal a la tierra productiva de las familias afrodescendiente en Colombia. Es ahora, no después ni mañana que debemos fomentar la agroindustria para enfrentar el déficit de más del 90% de la población afrodescendiente que no vive en los territorios de titulación colectiva, sino en las grandes ciudades y que no cuenta siquiera con un metro de tierra para cultivar",Reforma agraria / tierra,,,,
339,23%,"se tenga historia en este país, ha suspendido el au- mento salarial que permite que lo que antes se llamaba salario mínimo hoy haya pasado a ser salario vital, con un aumento del 23%. Quiero decir, frente a esa medida arbitraria, que no solamente la rechazamos con toda firmeza por su arbitrariedad, sino que además haremos todo lo ne- cesario mediante la movili",General / otro,,,,
348,"25,9%","enes en Paz y el Servicio Social para la Paz para cortar el reclutamiento con presu- puesto, intervención y evaluación. En Quibdó, con 1.857 beneficiarios, el homicidio se redujo -25,9%; y en San Andrés de Tumaco, con 1.127 jóvenes vinculados, bajó -34%. Vamos a cerrar esa puerta con dos llaves: educación y empleo, y daremos tratamiento tri- butario preferencial",Empleo / trabajo,,,,
348,34%,"nto con presu- puesto, intervención y evaluación. En Quibdó, con 1.857 beneficiarios, el homicidio se redujo -25,9%; y en San Andrés de Tumaco, con 1.127 jóvenes vinculados, bajó -34%. Vamos a cerrar esa puerta con dos llaves: educación y empleo, y daremos tratamiento tri- butario preferencial a las empresas que contraten jóvenes certificados: dar empleo a un j",Empleo / trabajo,,,,
349,30 %,"ueños de tiendas, e incluso a los vendedores informales. Hoy es un delito digital, facilitado por celulares en cárceles y por el anonimato de la banca virtual, y su incremento del 30 % exige una respuesta distinta, debemos diseñar respuestas tecnológicas, rápidas y efectivas para la protec- ción de los comerciantes y pequeños propietarios. Acción 5. Golpear el b",General / otro,,,,
355,9%,"onómica y Social para la equidad de género La desigualdad económica es un obstáculo estructural para los derechos de las mujeres, las mujeres presentan mayores tasas de desempleo, 9% con re- lación a 5% de los hombres, la informalidad laboral, la desigualdad salarial, las condiciones diferenciadas del ejercicio del trabajo tanto en lo urbano como en lo rural r",Empleo / trabajo,,,,
355,5%,"a la equidad de género La desigualdad económica es un obstáculo estructural para los derechos de las mujeres, las mujeres presentan mayores tasas de desempleo, 9% con re- lación a 5% de los hombres, la informalidad laboral, la desigualdad salarial, las condiciones diferenciadas del ejercicio del trabajo tanto en lo urbano como en lo rural requieren la atención",Empleo / trabajo,,,,
362,100 billones de pesos,"ma General de Regalías fue concebido para resarcir daños, fortalecer la autonomía territorial y garantizar inversión estratégica. Dicho sistema entre 2012 y 2023 distribuyó más de 100 billones de pesos y entre el 2025 y el 2026 tiene previsto sumar otros 30 billones de pesos más. Digámoslo claramente y fuerte: el saqueo de las regalías es uno de los robos a gran escala más cuant",General / otro,,,,
362,30 billones de pesos,"onomía territorial y garantizar inversión estratégica. Dicho sistema entre 2012 y 2023 distribuyó más de 100 billones de pesos y entre el 2025 y el 2026 tiene previsto sumar otros 30 billones de pesos más. Digámoslo claramente y fuerte: el saqueo de las regalías es uno de los robos a gran escala más cuantiosos que se están cometiendo en el país y, por lo tanto, un gobierno prog",General / otro,,,,
362,10 billones de pesos,"tiendo en el país y, por lo tanto, un gobierno progresista debe hacer frente al robo que se está haciendo de las regalías. La Contraloría reportó que solo entre 2018 y 2021 más de 10 billones de pesos estuvieron asociados a hallazgos administrativos, fiscales o disciplinarios y por su parte el Departamento Nacional de Planeación, DNP, señaló miles de proyectos con irregularidad",Economia / fiscal,,,,
362,85%,"iscales o disciplinarios y por su parte el Departamento Nacional de Planeación, DNP, señaló miles de proyectos con irregularidades, obras reportadas como terminadas sin superar el 85% de avance físico, proyectos sin actas de cierre y recursos en riesgo que ascienden a cerca de 12 billones de pesos, lo cual sería un alivio fundamental al déficit fiscal que padec",Economia / fiscal,,,,
362,12 billones de pesos,"de proyectos con irregularidades, obras reportadas como terminadas sin superar el 85% de avance físico, proyectos sin actas de cierre y recursos en riesgo que ascienden a cerca de 12 billones de pesos, lo cual sería un alivio fundamental al déficit fiscal que padece el país en este momento. No estamos ante errores fortuitos. Estamos ante una estructura de captura institucional.",Economia / fiscal,,,,
362,57%,"sabe, el departamento del Meta posee una enorme riqueza petrole- ra, y al tiempo tiene una enorme deuda social. El Meta es hoy el corazón petrolero de Colombia. Produce cerca del 57% del petróleo nacional, alrededor de 488 mil barriles diarios y entre 2023 y 2024 recibió más de 2,5 billones de pesos por concepto de regalías. Sin embargo, esa riqueza no se refl",Economia / fiscal,,,,
362,"2,5 billones de pesos","euda social. El Meta es hoy el corazón petrolero de Colombia. Produce cerca del 57% del petróleo nacional, alrededor de 488 mil barriles diarios y entre 2023 y 2024 recibió más de 2,5 billones de pesos por concepto de regalías. Sin embargo, esa riqueza no se refleja en bienestar ni en justicia social en el departamento. Puerto Gaitán es uno de los municipios del país que el año",General / otro,,,,
362,23 billones,"tán es uno de los municipios del país que el año pasado, concentró el mayor número de alertas de la Contraloría en materia de proyectos. La Contraloría advirtió que, pese a más de 23 billones invertidos en la región de los Llanos entre 2012 y 2025, el desarrollo no corresponde a la magnitud de los recursos. Además, en el diagnóstico nacional de “elefantes blancos” se id",General / otro,,,,
363,63 mil millones de pesos,"recientes más escandalosos es el adelantado por el ex gober- nador Juan Guillermo Zuluaga del sistema de purificación de agua en Puerto Gaitán, con posibles pérdidas superiores a 63 mil millones de pesos, donde los equipos no cumplieron su función y los niños se quedaron esperando el agua potable para sus colegios y labores. Lastimosamente y debemos decirlo con claridad, debido a",Educacion,,,,
373,10 billones de pesos,"ello Implementaremos a cabalidad el CONPES de soluciones duraderas recién aprobado por el Gobierno y por nuestro compañero presidente Gusta- vo Petro que estipula inversiones por 10 billones de pesos en los próximos diez años para garantizar el retorno al país voluntario, seguro y digno. Mi campaña tiene como definición esencial el Poder de la Verdad. Mi gobier- no será cohere",Economia / fiscal,,,,
414,30%,"tos, de los tratamien- tos curativos, pero también de la prevención. A pesar de que hemos tenido avances, hay que decirlo, sigue habiendo pobre- za en Colombia y en el Caquetá. El 30% de los municipios de este departa- mento todavía no tienen acceso al agua potable, lo cual es inadmisible en un departamento con semejante riqueza hídrica. Hay un estado crítico d",Medio ambiente,,,,
426,30%,"ón, ratifi- camos el Acuerdo de Escazú, sacamos adelante la Ley de humedales también de autoría de nuestro proyecto político, una deuda histórica para la protec- ción de cerca del 30% de nuestro territorio nacional, reconocimos a los ani- males como sujetos de atención en el Sistema Nacional de Gestión del Riesgo de Desastres a través de nuestra ley de Rescate",Economia / fiscal,,,,
426,2%,"io nacional, reconocimos a los ani- males como sujetos de atención en el Sistema Nacional de Gestión del Riesgo de Desastres a través de nuestra ley de Rescate Animal, pasamos del 2% al 15% en la participación de energías limpias en la matriz de generación eléctri- ca. Pero nos falta mucho por hacer. Queremos ahora consolidar un PACTO POR LA VIDA, que deje de",General / otro,,,,
426,15%,"ional, reconocimos a los ani- males como sujetos de atención en el Sistema Nacional de Gestión del Riesgo de Desastres a través de nuestra ley de Rescate Animal, pasamos del 2% al 15% en la participación de energías limpias en la matriz de generación eléctri- ca. Pero nos falta mucho por hacer. Queremos ahora consolidar un PACTO POR LA VIDA, que deje de lado la",General / otro,,,,
426,51%,ión de la transición energética: acelerar la incorporación de energías renovables no convencionales y dinamizar las economías verdes. Cumplir y superar el compromiso de reducir en 51% las emisiones de gases efecto invernadero al 2030. • El control y disminución de la ganadería extensiva y su sustitución por mo- delos sostenibles como la ganadería silvopastoril.,General / otro,,,,
430,6 billones de pesos,"ión, del robo de las regalías, promovido por los clanes políticos que vamos a derrotar. A pesar de recibir cuantiosas regalías, en esta última etapa desde el 2012 se han entregado 6 billones de pesos a La Guajira, ¿dónde están esos billones de pesos? ¿Cuántas obras se han entregado, cuántas carreteras, cuántos acue- ductos? o ¿se los han robado? Esta tierra dotada de inmensa p",Reforma agraria / tierra,,,,
431,2 billones de pesos,"táreas han sido entregadas y más de 17.000 han sido tituladas, para que la gente pueda recuperar las tierras que le fueron despojadas. Aquí nuestro Gobierno invirtió efectivamente 2 billones de pesos para crear la primera facultad pública de Medicina en la Universidad de La Guajira en Uribia. Aquí en La Guajira estamos invirtiendo para dotar el sistema hospitalario con los rec",Salud,,,,
