id,pagina,cifra_en_plan,contexto_resumido,tema,tipo_cifra,verificabilidad,estado,indicador_real_2025_2026,brecha_o_diferencia,fuente_contraste,notas_analiticas
11,116,27.6 billones de pesos inversion Pacto Cauca,"205 proyectos estrategicos con una inversion de 27.6 billones de pesos en el Cauca.",Economia / fiscal,Compromiso,PARCIALMENTE VERIFICABLE,Ambicioso,"Presupuesto General Nacion 2026: inversion total es ~100 billones; 27.6 solo para el Cauca seria enorme","Cifra muy ambiciosa frente a capacidad fiscal real","MHCP Presupuesto 2026","Cifra de compromiso politico. Su ejecucion real requerira vigilancia fiscal"
12,116,30000 km de caminos rurales por construir,"Con mas de 30.000 km que necesitamos construir de caminos rurales.",Infraestructura,Diagnostico / meta,VERIFICABLE,Consistente,"INVIAS 2024: deficit de vias terciarias estimado en 30.000-35.000 km sin pavimentar","Consistente con diagnostico oficial","INVIAS 2024; DNP","Cifra consistente con diagnostico oficial de infraestructura rural"
13,191,37% aumento salario minimo,"Ha aumentado 37% el salario minimo en el periodo del gobierno.",Empleo / trabajo,Logro gobierno Petro,VERIFICABLE,Consistente,"Salario minimo 2022: $1.000.000; 2025: $1.423.500 = aumento acumulado ~42%; 23% solo en 2025","Aumento acumulado real es mayor al 37%","Ministerio del Trabajo 2025","Dato verificable. El aumento acumulado 2022-2025 supera el 37% reportado"
14,191,2.5 millones de empleos creados,"Se crearon mas de 2.5 millones de empleos en el gobierno del Pacto Historico.",Empleo / trabajo,Logro gobierno Petro,VERIFICABLE,Con matices,"DANE: ocupados 2022=22.2M; 2025=23.8M = diferencia ~1.6M en terminos netos","El plan cita empleos brutos; DANE muestra crecimiento neto menor","DANE Gran Encuesta Integrada de Hogares 2022-2025","Discrepancia entre empleos brutos creados y variacion neta de ocupados"
15,191,2.8 millones salieron de pobreza,"Mas de 2.8 millones de personas salieron de la pobreza monetaria.",Pobreza / inclusion,Logro gobierno Petro,VERIFICABLE,Consistente,"DANE: pobreza monetaria 2022=36%; 2024=29%; sobre 52M = reduccion de ~3.6M personas","Cifra conservadora; dato real puede ser mayor","DANE Pobreza Monetaria 2022-2024","Cifra plausible y consistente con reduccion de la tasa de pobreza"
16,192,1.8 millones de hectareas formalizadas,"Se han formalizado 1.8 millones de hectareas. Se han creado 17 Zonas de Reserva Campesina.",Reforma agraria / tierra,Logro gobierno Petro,PARCIALMENTE VERIFICABLE,Con matices,"ANT 2025: reporta avances en formalizacion pero cifras oficiales consolidadas no publicadas periodicamente","Meta ambiciosa; ejecucion parcialmente documentada","Agencia Nacional de Tierras 2025","Cifra de logro gubernamental. Requiere verificacion con ANT"
17,200,80% municipios sin agua potable,"El 80% de los municipios del pais tienen dificultad con la calidad del agua.",Infraestructura,Diagnostico,VERIFICABLE,Consistente,"DANE ENA 2022: 79.4% de municipios reportan deficiencias en agua potable","Consistente con dato DANE","DANE Estadisticas Agua 2022; Superintendencia Servicios Publicos","Cifra verificada y consistente. Colombia tiene 1.122 municipios; mayoria sin agua potable de calidad"
18,219,economia creciendo al 3.6%,"La economia colombiana esta creciendo en un 3.6%.",Economia / fiscal,Diagnostico / logro,NO CONSISTENTE,Sobreestimado,"BanRep 2025: crecimiento PIB 2025=2.6%; proyeccion 2026=2.4%; BM proyecta 2.2%","Diferencia de +1pp frente a dato oficial BanRep","Banco de la Republica Informe Politica Monetaria 2026","La cifra del plan es optimista. El dato oficial del BanRep es 2.6% para 2025"
19,219,inflacion reducida en 5.3%,"La inflacion se ha reducido en 5.3% un indice no visto desde hace tiempo.",Economia / fiscal,Logro gobierno Petro,CON MATICES,Requiere contexto,"BanRep Q1 2026: inflacion total 5.6%; inflacion basica 5.8%. Ambas sobre meta de 3%","El plan presenta reduccion acumulada; el nivel sigue siendo alto","Banco de la Republica 2026","El plan celebra la reduccion desde el pico de ~13% (2022) a 5.3%. Pero el nivel actual sigue sobre meta"
20,219,desempleo al 8.2%,"La tasa de desempleo disminuyo 8.2% una de las mas bajas en la historia reciente.",Empleo / trabajo,Logro gobierno Petro,VERIFICABLE,Consistente,"DANE: desempleo abril 2026=8.8%; tasa anual 2025=8.9%","Diferencia menor; posiblemente dato de un trimestre especifico","El Pais (2026b); DANE","Cifra coherente. La tasa mas baja registrada reciente es 8.2% en algun trimestre de 2024-2025"
21,226,7.5 millones de hogares con equipos de atencion primaria,"Se desplegaron 10.000 equipos basicos de atencion que hoy llegan a 7.5 millones de hogares.",Salud,Logro gobierno Petro,PARCIALMENTE VERIFICABLE,Con matices,"Ministerio de Salud reporta despliegue de EAPB y equipos basicos pero cifras de cobertura no consolidadas","Cifra gubernamental no plenamente auditada","Ministerio de Salud y Proteccion Social 2025","Dato de logro ejecutivo. Requiere auditoria del Ministerio de Salud"
22,227,75% superacion meta hectareas vs gobierno anterior,"Se han formalizado 1.800.000 hectareas superando en 75% al gobierno anterior.",Reforma agraria / tierra,Logro gobierno Petro,PARCIALMENTE VERIFICABLE,Con matices,"Gobierno Duque: ~400.000 ha formalizadas; 75% mas = ~700.000 ha. Cifra del plan dice 1.8M","Inconsistencia matematica interna en el plan","ANT; UPRA 2025","La matematica interna del plan tiene inconsistencia: 75% mas que Duque no da 1.8M"
23,348,-25.9% homicidio en Quibdo con programa Jovenes en Paz,"Con 1.857 beneficiarios en Quibdo el homicidio se redujo -25.9%.",Paz / seguridad,Logro gobierno Petro,PARCIALMENTE VERIFICABLE,Plausible,"Policia Nacional reporta reduccion de homicidios en algunas ciudades 2023-2024","Reduccion localizada verificable en reportes de la Policia","Policia Nacional - SIEDCO 2024","Reduccion localizada plausible. Requiere contraste con datos SIEDCO Policia Nacional"
24,349,30% incremento extorsion digital,"El incremento del 30% de la extorsion digital exige una respuesta distinta.",Paz / seguridad,Diagnostico,VERIFICABLE,Consistente,"Dijin-Policia Nacional 2024: delitos informaticos aumentaron 27-32% en 2023-2024","Consistente con reportes oficiales","Policia Nacional - Dijin 2024","Cifra consistente con tendencia reportada por la Dijin"
25,355,desempleo mujeres 9% vs hombres 5%,"Las mujeres presentan mayores tasas de desempleo: 9% frente a 5% de los hombres.",Empleo / trabajo,Diagnostico,VERIFICABLE,Consistente,"DANE GEIH 2025: desempleo mujeres ~10.5%; desempleo hombres ~7.1%","Brecha de genero real pero cifras absolutas subestimadas en el plan","DANE Gran Encuesta Integrada de Hogares 2025","La brecha de genero es real y documentada. Las cifras absolutas del plan son conservadoras"
26,362,"100 billones de regalias distribuidas 2012-2023","El SGR distribuyo mas de 100 billones de pesos entre 2012 y 2023.",Economia / fiscal,Diagnostico,VERIFICABLE,Consistente,"DNP SGR: distribucion acumulada 2012-2023 supera 100 billones de pesos","Consistente con datos DNP","DNP Sistema General de Regalias 2023","Cifra verificada con datos del DNP"
27,362,12 billones de pesos en riesgo por irregularidades regalias,"Recursos en riesgo asociados a irregularidades en regalias ascienden a 12 billones.",Economia / fiscal,Diagnostico,PARCIALMENTE VERIFICABLE,Plausible,"Contraloria General de la Republica 2023: hallazgos fiscales regalias ~8-12 billones","Cifra del rango de hallazgos Contraloria","Contraloria General de la Republica 2023-2024","Cifra plausible dentro del rango de hallazgos reportados por la Contraloria"
28,373,10 billones de pesos para retorno de victimas en 10 anos,"El CONPES de soluciones duraderas estipula inversiones por 10 billones en proximos diez anos.",Economia / fiscal,Compromiso politico,VERIFICABLE,Consistente,"CONPES 4100 y siguientes incluyen compromisos financieros para victimas","Cifra de documento CONPES verificable","DNP CONPES 2024-2025","Dato de compromiso oficial verificable en documento CONPES"
29,426,de 2% a 15% en energias limpias en matriz electrica,"Pasamos del 2% al 15% en la participacion de energias limpias en la matriz electrica.",Medio ambiente,Logro gobierno Petro,VERIFICABLE,Consistente,"UPME 2025: capacidad instalada solar+eolica subio de ~1% en 2022 a ~13-15% en 2025","Consistente con expansion real de renovables","UPME 2025; XM operador sistema","Expansion renovable verificada. El porcentaje de capacidad instalada coincide"
30,426,reducir 51% emisiones GEI al 2030,"Compromiso de reducir en 51% las emisiones de gases efecto invernadero al 2030.",Medio ambiente,Meta NDC,VERIFICABLE,Ambicioso,"NDC Colombia 2020: meta es reducir 51% emisions GEI con respecto a BAU al 2030","Meta real de la NDC de Colombia; muy ambiciosa","IDEAM NDC Colombia 2020; UNFCCC","Meta oficial de Colombia en el Acuerdo de Paris. Su cumplimiento esta en duda segun IDEAM"
